release.date,release.time,id.prefix,last.four,release.location,treatment
2024-05-24,12:08,384.3a70c4,fe92,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9aa,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe86,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc3a,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8d0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9cc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbd0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9cc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fveb,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc4c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fba9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb19,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd30,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdff,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc04,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdd6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb5a,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fab6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdf2,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fab0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f963,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f927,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb1c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f94b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa16,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fi5d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd00,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fac7,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb0b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbf5,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fva6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb8e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc88,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe70,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd51,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa0c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc8d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fce8,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc23,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8f7,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f92b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd3e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbab,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcb9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdc0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8d1,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,faf4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc82,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc7d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fae2,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fea3,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f931,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe59,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdfb,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbb4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc4e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9c9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9e9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbfc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb97,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb80,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fab5,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb4c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbc0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f945,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcf6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8e5,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe6f,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc95,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcea,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9bc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa1a,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fac6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9bc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9bc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9bf,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,faed,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc02,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdd4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9f9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc57,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd4c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f94f,ham.us,archimedes3
