release.date,release.time,id.prefix,last.four,release.location,treatment
2024-05-24,12:08,384.3a70c4,f930,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe17,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb48,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa5d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f997,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,faaa,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9b8,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa08,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc28,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fad9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd34,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc33,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe96,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f938,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbf3,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8fb,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9ba,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fddc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb6c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcc9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb6c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcc9,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb5e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f952,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa58,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd8f,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa66,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd0d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc35,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd93,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9a2,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc38,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,faca,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe9c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd4d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd70,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9ad,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f97e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa97,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa27,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcbe,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb62,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb3b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fde4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc8e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f985,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcbd,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f93d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc51,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f987,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f996,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fv44,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f991,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc16,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd91,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fv12,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc30,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcaf,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f99e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbe8,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fce7,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcf8,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fab4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc12,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb65,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb98,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fca7,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbdc,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fv54,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fccd,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f961,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd68,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdb3,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc9c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9f5,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9f4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbf0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f982,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa0d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9f7,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fv4a,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdca,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa71,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa88,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc48,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcdb,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc9e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbba,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb50,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f913,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdf0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f062,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa8b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd16,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcc4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9a3,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fv91,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc1b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa3b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fda7,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb2a,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9ce,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbde,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd2a,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8e4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8d6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f915,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fab6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcfd,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fce2,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdbd,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb83,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa67,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb41,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcf3,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fccd,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd35,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9d0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fcac,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdc1,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fde5,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f978,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f92e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd59,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe58,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8fa,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa9b,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc11,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc5d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc3d,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb56,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fc24,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9e6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa14,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f966,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa07,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9d6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,faa0,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f95c,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fvda,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fa26,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fb4e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f9b4,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f910,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fd02,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f941,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8db,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fdd8,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,f8f6,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fe7e,ham.us,archimedes3
2024-05-24,12:08,384.3a70c4,fbda,ham.us,archimedes3
