release.date,release.time,release.location,id.prefix,last.four,treatment
2024-05-23,13:20,ham.us,384.3a70c4,fc1f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb2f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe10,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8f9,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f95a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd7e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc45,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc39,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb71,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fae1,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fv33,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9bd,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb5f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd0a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa81,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe05,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc31,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe37,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb85,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa6d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f905,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbe3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fabc,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa51,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa33,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fv6f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8d8,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fac0,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe7c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fv01,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe69,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fabb,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd72,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd49,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe65,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdcd,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa05,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd24,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe57,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9fd,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd91,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd6e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb35,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd5a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fv28,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa18,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fvac,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe8b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe52,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f909,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f994,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa1f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc42,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fba7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fcc2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc37,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc05,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd01,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8b5,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa47,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd36,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc6b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f965,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f97e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbca,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fcc7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fae3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9f0,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f90c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fad1,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fba0,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa5c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd23,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f902,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb8a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8cf,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fcd0,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fce1,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa55,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe3c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fae0,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbbd,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe88,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe0d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd8a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbe7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f948,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8f1,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f968,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f970,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fda3,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f96d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbaa,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa8f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd41,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fea1,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fceb,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe00,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fced,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f90a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc69,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fab7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f93b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe8c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb11,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f91e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa44,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb6b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd4f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fef2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbbf,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd8c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fcfc,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8ea,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb57,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fabd,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f90d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc6f,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fea4,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdb5,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fad8,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa4c,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fac5,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f993,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdda,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe64,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa36,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fae7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f97a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f98b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa85,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb07,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa04,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa1e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa5b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd1e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fddb,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdf8,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb34,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb78,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbef,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb88,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9c8,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe66,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdf7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa21,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb7b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb6d,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f96e,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd85,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fca9,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9ab,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f94a,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd04,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fccc,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fd62,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fa87,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fdd7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc15,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f8e7,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fe45,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb24,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fda6,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,f9cb,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fbb2,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fb66,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc7b,archimedes1
2024-05-23,13:20,ham.us,384.3a70c4,fc19,archimedes1
