"","tag_id","code_label","receiver_sn","detection_datetime","subarray","subsubarray","position","kintama_nickname","dep_lat","dep_long","sensor1","sensor1_units"
"1",35757,"A69-1604",107598,"2024-05-26 1:32","MISSION","MISSION N BANK",2,"MISSION_02",49.129068,-122.29967,NA,NA
"2",35758,"A69-1604",107768,"2024-06-06 13:56","DERBY","DERBY N BANK",2,"DERBY_02",49.203627,-122.59012,NA,NA
"3",35761,"A69-1604",107955,"2024-05-27 2:07","BARNSTON","BARNSTON S BANK",1,"BARNSTON_01",49.186318,-122.68715,NA,NA
"4",35770,"A69-1604",107956,"2024-05-25 16:04","PORT_MANN","PORT MANN S BANK",1,"P_MANN_01",49.217825,-122.821022,NA,NA
"5",35773,"A69-1604",107952,"2024-06-06 9:00","NEW_WEST","NEW WEST S BANK",1,"NW_01",49.203042,-122.895645,NA,NA
