date,site,treatment,do,temp,release.time,sample.time,tag.id,sample.no,length,loss.stim,loss.orienation,loss.buoy,convulsions,exopthalmia,stomach.evol,vent.blood.bile,pel.fin.emboli,eye.hem,fin.hem,scale.loss,contusion.location,lacerations, lactate,hemoglobin,internal.hem,hem.location,ruptured.swim.b,gill.emboli,hematocrit,comment
2024-05-24,hammerlsey,archmiedes2,61,13.3,9:55,10:40,fd53,136,115,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,78,0,0,0,0,,
2024-05-24,hammerlsey,archmiedes2,61,13.3,9:55,10:46,f9c7,137,102,0,0,0,0,0,0,0,0,0,0,0,0,0,13,78,0,0,0,0,,
2024-05-24,hammerlsey,archmiedes2,61,13.3,9:55,10:49,fa01,138,120,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,85,0,0,0,0,,
2024-05-24,hammerlsey,archmiedes2,61,13.3,9:55,10:51,fd99,139,115,0,0,0,0,0,0,0,0,0,0,0,0,0,15,77,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:21,fc29,140,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,70,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:26,fd8f,141,125,1,1,0,0,0,0,0,0,0,0,2,b,0,12,79,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:30,fdd6,142,122,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,80,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:33,fb65,143,118,0,0,0,0,0,0,0,0,1,0,1,0,0,7.3,79,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:37,fc95,144,112,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,82,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:41,fc30,145,105,0,0,0,0,0,0,0,0,0,0,1,0,0,11.9,74,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:44,f9c0,146,106,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,68,0,0,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:47,fbda,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,81,1,u,0,0,,
2024-05-24,hammerlsey,archimedes3,61,13.3,12:08,12:58,f938,148,114,1,0,0,0,0,0,0,0,0,1,0,0,0,11.8,64,1,u,0,0,,
