acoustic_tag_owner,acoustic_tag_manufacturer,acoustic_tag_serial_number,acoustic_tag_subtype,acoustic_tag_id,acoustic_tag_family,acoustic_tag_frequency,acoustic_tag_number,acoustic_tag_life_expectancy,transmitter_interval_min,transmitter_interval_max,acoustic_tag_ship_date,comments
InStream Fisheries Research Inc.,Innovasea,1569597,V13,A69-1604-20793,V13-1x-BLU-1,69,20793,1460,90,150,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569598,V9,A69-1604-20784,V9-2x-BLU-1,69,20784,912,110,190,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569599,V9,A69-1604-20785,V9-2x-BLU-1,69,20785,912,110,190,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569600,V9,A69-1604-20786,V9-2x-BLU-1,69,20786,912,110,190,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569601,V9,A69-1604-20787,V9-2x-BLU-1,69,20787,912,110,190,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569602,V9,A69-1604-20788,V9-2x-BLU-1,69,20788,912,110,190,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569603,V9,A69-1604-20789,V9-2x-BLU-1,69,20789,912,110,190,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569604,V9,A69-1604-20790,V9-2x-BLU-1,69,20790,912,110,190,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569605,V7,A69-1604-18324,V7-4x-BLU-1,69,18324,462,190,290,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569606,V7,A69-1604-18325,V7-4x-BLU-1,69,18325,462,190,290,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569607,V7,A69-1604-18326,V7-4x-BLU-1,69,18326,462,190,290,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569608,V7,A69-1604-18327,V7-4x-BLU-1,69,18327,462,190,290,2023-06-28,
InStream Fisheries Research Inc.,Innovasea,1569609,V7,A69-1604-18328,V7-4x-BLU-1,69,18328,462,190,290,2023-06-28,
